wallet_address,total_deposit_usd,total_borrow_usd,total_repay_usd,total_redeem_usd,num_liquidations,num_deposits,num_borrows,num_repays,num_redeems,num_transfers,unique_tx_types,total_tx_count,total_comp_received,avg_borrow_per_tx,avg_repay_per_tx,compound_core_tx_count,compound_reward_tx_count,interest_event_count,collateral_management_count,defi_interaction_count,token_interaction_count,negative_event_count,staking_voting_count,defi_diversity_score,compound_core_tx_ratio,collateral_to_borrow_ratio,last_tx_timestamp,debt_to_collateral_ratio,liquidation_to_tx_ratio,credit_score
0x58d68d4bcf9725e40353379cec92b90332561683,0.0,0.0,0.0,0.011551364397559518,0,0,0,0,1,7,8,7,0.0,0.0,0.0,0,6,2,1,6,10,0,0,2,0.0,1.0,2025-01-27 02:16:47+00:00,0.0,0.0,0.0
0x5e324b4a564512ea7c93088dba2f8c1bf046a3eb,0.0,0.0,0.0,0.0,0,0,0,0,0,2,4,1,0.0,0.0,0.0,0,1,1,0,0,2,0,0,0,0.0,0.0,2020-11-19 23:07:03+00:00,0.0,0.0,0.0
0x612a3500559be7be7703de6dc397afb541a16f7f,0.0,100.0,100.15379281999999,0.0,0,0,1,2,3,13,10,12,0.0,100.0,50.076896409999996,10,8,9,3,0,13,0,2,0,0.8333333333333334,3.0,2021-03-09 10:22:38+00:00,100.0,0.0,0.0
0x623af911f493747c216ad389c7805a37019c662d,0.0,0.0,0.0,0.0,0,0,0,0,0,3,5,2,0.0,0.0,0.0,0,3,1,0,0,3,0,0,0,0.0,0.0,2024-07-19 14:26:47+00:00,0.0,0.0,0.0
0x6a2752a534faacaaa153bffbb973dd84e0e5497b,0.0,0.0,0.0,0.0,0,0,0,0,0,1,4,1,0.0,0.0,0.0,0,1,1,0,0,1,0,0,0,0.0,0.0,2020-12-20 09:15:20+00:00,0.0,0.0,0.0
0x6d69ca3711e504658977367e13c300ab198379f1,0.0,0.0,0.0,0.0,0,0,0,0,0,2,4,1,0.0,0.0,0.0,0,1,1,0,0,2,0,0,0,0.0,0.0,2020-11-03 12:59:51+00:00,0.0,0.0,0.0
0x6e355417f7f56e7927d1cd971f0b5a1e6d538487,0.0,0.0,0.0,0.0,0,0,0,0,1,6,5,4,0.0,0.0,0.0,1,2,2,1,0,6,0,0,0,0.25,1.0,2020-11-24 20:08:31+00:00,0.0,0.0,0.0
0x70c1864282599a762c674dd9d567b37e13bce755,0.0,0.0,0.0,0.0,0,0,0,0,0,2,4,1,0.0,0.0,0.0,0,1,1,0,0,2,0,0,0,0.0,0.0,2020-11-09 21:53:47+00:00,0.0,0.0,0.0
0x70d8e4ab175dfe0eab4e9a7f33e0a2d19f44001e,225.7370892745739,1933471480779.8071,1939451236948.4167,74.36886655773003,0,14,9,12,33,310,20,100,0.0,214830164531.0897,161620936412.36807,71,0,94,47,13,378,1,0,2,0.71,5.222222222222222,2023-01-26 02:11:59+00:00,8565147566.105281,0.0,221.56912835337434
0x7399dbeebe2f88bc6ac4e3fd7ddb836a4bce322f,0.0,0.0,0.0,0.0,0,0,0,0,0,2,4,1,0.0,0.0,0.0,0,1,1,0,0,2,0,0,0,0.0,0.0,2020-11-21 22:17:11+00:00,0.0,0.0,0.0
0x767055590c73b7d2aaa6219da13807c493f91a20,0.0,0.0,0.0,0.0,0,0,0,0,0,2,4,1,0.0,0.0,0.0,0,1,1,0,0,2,0,0,0,0.0,0.0,2020-11-08 05:35:38+00:00,0.0,0.0,0.0
0x7851bdfb64bbecfb40c030d722a1f147dff5db6a,0.0,0.0,0.0,0.0,0,0,0,0,1,5,9,2,0.0,0.0,0.0,2,2,2,1,0,6,0,0,0,1.0,1.0,2020-09-21 16:18:22+00:00,0.0,0.0,0.0
0x7b4636320daa0bc055368a4f9b9d01bd8ac51877,0.0,0.0,0.0,0.0,0,0,0,0,0,4,4,3,0.0,0.0,0.0,0,1,1,0,0,4,0,0,0,0.0,0.0,2021-02-17 16:46:36+00:00,0.0,0.0,0.0
0x7b57dbe2f2e4912a29754ff3e412ed9507fd8957,0.0,0.0,0.0,0.0,0,0,0,0,2,3,5,3,0.0,0.0,0.0,2,3,3,2,0,3,0,0,0,0.6666666666666666,2.0,2020-11-07 18:13:10+00:00,0.0,0.0,0.0
